Country,Topic,Month,MedianSentiment,IndicatorValue
DE,Employment,2021-01,-2.88094430677977,3.9666666666666663
DE,Employment,2021-02,-0.7151425572478202,4.0
DE,Employment,2021-03,-1.409013078688011,3.9333333333333336
DE,Employment,2021-04,-2.3062110746796467,3.8333333333333335
DE,Employment,2021-05,-0.8606809953462136,3.7000000000000006
DE,Employment,2021-06,-0.06347500092083713,3.5666666666666664
DE,Employment,2021-08,-0.4719979181230699,3.3666666666666667
DE,Employment,2021-09,-1.1706634835944925,3.4
DE,Employment,2021-10,-7.14285714285714,3.3000000000000003
DE,Employment,2021-11,-2.503295353440543,3.4
DE,Employment,2022-01,-1.5749513639702228,3.3666666666666667
DE,Employment,2022-02,-1.2651396048892898,3.1666666666666665
DE,Employment,2022-03,-4.34548819527811,3.1666666666666665
DE,Employment,2022-04,-2.687390679556007,3.1666666666666665
DE,Employment,2022-05,-2.516721408002355,3.033333333333333
DE,Employment,2022-06,-1.8482547485459797,3.1
DE,Employment,2022-07,-2.68707482993197,3.1999999999999997
DE,Employment,2022-08,-2.44158646523135,3.1333333333333333
DE,Employment,2022-09,-1.342228577008987,3.1666666666666665
DE,Employment,2022-10,1.5911193339500453,3.1
DE,Employment,2022-11,-0.24578273566320002,3.0666666666666664
DE,Employment,2022-12,-4.45576066199873,3.033333333333333
DE,Employment,2023-01,-1.581751581751585,3.033333333333333
DE,Employment,2023-02,-0.335570469798658,3.0666666666666664
DE,Employment,2023-03,-0.7189714215370385,3.0
DE,Employment,2023-04,-1.10236220472441,3.033333333333333
DE,Employment,2023-05,-2.547727693738444,2.966666666666667
DE,Employment,2023-06,-2.7626289036168576,3.033333333333333
DE,Employment,2023-07,-4.54264853382997,3.0666666666666664
DE,Employment,2023-08,-1.548945592923119,3.1666666666666665
DE,Employment,2023-09,-1.9556357798966266,3.0666666666666664
DE,Employment,2023-10,-3.3096926713948,3.1333333333333333
DE,Employment,2023-11,-3.4096922958081817,3.1666666666666665
DE,Employment,2023-12,-1.941130042012466,3.1333333333333333
DE,Housing,2021-01,-2.477050594007605,82.875
DE,Housing,2021-04,0.9292423245054271,87.05
DE,Housing,2021-07,-0.020131135574071497,90.95
DE,Housing,2021-10,-2.077818324004034,92.9
DE,Housing,2022-01,3.6652747901640703,93.25
DE,Housing,2022-04,-0.7519706164647576,94.85
DE,Housing,2022-07,-0.364633572368337,92.25
DE,Housing,2022-10,-2.98634812286689,85.075
DE,Housing,2023-01,-2.2494421016647164,81.95
DE,Housing,2023-04,-2.6073623739227574,80.4
DE,Housing,2023-07,-1.8712957401510835,78.925
DE,Housing,2023-10,-0.07861670704070267,77.9
DE,Inflation,2021-01,-0.7719060724715965,124.26666666666667
DE,Inflation,2021-02,-0.7649019397509964,124.96666666666668
DE,Inflation,2021-03,-0.9262370643390256,125.50000000000001
DE,Inflation,2021-04,0.18025165345942817,126.13333333333333
DE,Inflation,2021-05,-1.3180228315679225,126.5
