Country,Topic,Month,MonthlyVolume,MonthlySentiment
FR,Employment,2021-11,6,-1.3971958195122545
FR,Employment,2021-12,1,1.81543116490166
FR,Employment,2022-01,2,-1.72413793103448
FR,Employment,2022-02,7,-1.2334440987672974
FR,Employment,2022-03,4,-2.8669935317148725
FR,Employment,2022-04,3,-2.787103876936671
FR,Employment,2022-06,2,-2.72904483430799
FR,Employment,2022-07,3,-3.4328234674420064
FR,Employment,2022-08,1,-0.0563063063063063
FR,Employment,2022-09,3,-2.7777091346370835
FR,Employment,2022-11,1,-0.307692307692308
FR,Employment,2023-01,2,-2.3725169451035297
FR,Employment,2023-02,2,-4.7509428032683845
FR,Employment,2023-03,4,-3.798195324990303
FR,Employment,2023-04,2,-3.32786994174843
FR,Employment,2023-05,5,-3.2821314728789943
FR,Employment,2023-06,5,-2.6953369683530464
FR,Employment,2023-07,4,-1.14947179791938
FR,Employment,2023-08,4,-1.5450310773788116
FR,Employment,2023-10,2,-1.1957514071218949
FR,Employment,2023-11,1,-0.970873786407767
FR,Housing,2021-01,1,-3.39805825242718
FR,Housing,2021-02,2,-1.18245504973221
FR,Housing,2021-03,5,0.8666626589139484
FR,Housing,2021-04,7,-1.7107914735835281
FR,Housing,2021-05,3,-1.6405373672610075
FR,Housing,2021-06,4,-1.73570552650919
FR,Housing,2021-07,1,-3.4535686876439
FR,Housing,2021-08,4,2.7652232400425474
FR,Housing,2021-09,1,-0.344234079173838
FR,Housing,2021-10,4,-2.130944100340749
FR,Housing,2021-11,4,0.33695668487263125
FR,Housing,2021-12,5,-0.30073341556507227
FR,Housing,2022-01,3,-1.5583414550343466
FR,Housing,2022-02,4,-0.6532945268371881
FR,Housing,2022-03,2,-0.010687912942090483
FR,Housing,2022-04,3,0.376428896445604
FR,Housing,2022-05,1,-0.306748466257669
FR,Housing,2022-06,1,1.58730158730159
FR,Housing,2022-07,7,-2.0214995861427196
FR,Housing,2022-08,2,3.026009126249496
FR,Housing,2022-09,2,-3.14678146781468
FR,Housing,2022-10,3,0.5892839984672568
FR,Housing,2022-11,3,0.050337385481073284
FR,Housing,2022-12,1,-2.04081632653061
FR,Housing,2023-01,2,-1.0093480061531206
FR,Housing,2023-02,1,-2.12201591511936
FR,Housing,2023-03,2,-1.366459091118378
FR,Housing,2023-04,2,-0.06245432955791008
FR,Housing,2023-05,3,-1.1729596500719168
FR,Housing,2023-06,13,-0.5672090794924898
FR,Housing,2023-07,5,-0.23696682464455
FR,Housing,2023-08,6,2.031767885320837
FR,Housing,2023-09,1,2.88659793814433
FR,Housing,2023-10,6,0.3190799154987463
FR,Housing,2023-11,4,-2.134644249188292
FR,Housing,2023-12,2,1.1693728586325052
FR,Inflation,2021-01,5,-1.4950804054747795
FR,Inflation,2021-02,2,-0.5468483883167551
FR,Inflation,2021-03,1,0.0
FR,Inflation,2021-04,3,-0.505477156587129
FR,Inflation,2021-05,2,-1.5498295921964997
FR,Inflation,2021-06,5,-1.3403559002385323
FR,Inflation,2021-07,2,-0.9287499470496
FR,Inflation,2021-09,8,-2.754329167052657
FR,Inflation,2021-10,2,-2.59426671947933
FR,Inflation,2021-11,7,-0.890364752799851
FR,Inflation,2021-12,11,-2.27044067706167
FR,Inflation,2022-01,4,-1.2771765560667152
FR,Inflation,2022-02,6,-0.3320057212780863
FR,Inflation,2022-03,8,-1.1049192019788276
FR,Inflation,2022-04,12,-1.3156347100107262
FR,Inflation,2022-05,2,-5.42849631966351
FR,Inflation,2022-06,14,-2.2040825456699205
FR,Inflation,2022-07,15,-1.892135246576792
FR,Inflation,2022-08,9,-2.1577094847550717
FR,Inflation,2022-09,9,-1.990293950345426
FR,Inflation,2022-10,12,-2.1548156107183947
FR,Inflation,2022-11,13,-2.1580661962803416
FR,Inflation,2022-12,4,-1.694898255708749
FR,Inflation,2023-01,7,0.4140739792445893
FR,Inflation,2023-02,8,-0.2679599156354531
FR,Inflation,2023-03,12,-3.0838825569897614
FR,Inflation,2023-04,8,-0.7657687914107518
