Month,Country,House_Price_Index
2020-01,DE,75.4
2020-01,FR,58.4825
2020-01,NL,68.28999999999999
2020-01,UK,63.9825
2020-04,DE,76.75
2020-04,FR,59.485
2020-04,NL,70.205
2020-04,UK,63.8925
2020-07,DE,79.72500000000001
2020-07,FR,60.7025
2020-07,NL,71.99249999999999
2020-07,UK,66.8675
2020-10,DE,82.0
2020-10,FR,61.4625
2020-10,NL,72.94
2021-01,DE,82.875
2021-01,FR,61.7025
2021-01,NL,76.4025
2021-04,DE,87.05
2021-04,FR,62.965
2021-04,NL,80.39250000000001
2021-07,DE,90.95
2021-07,FR,65.7375
2021-07,NL,85.88
2021-10,DE,92.9
2021-10,FR,65.8425
2021-10,NL,88.9975
2022-01,DE,93.25
2022-01,FR,66.3325
2022-01,NL,92.50999999999999
2022-04,DE,94.85
2022-04,FR,67.7
2022-04,NL,94.5875
2022-07,DE,92.25
2022-07,FR,69.5575
2022-07,NL,93.2625
2022-10,DE,85.075
2022-10,FR,67.86
2022-10,NL,89.06
2023-01,DE,81.95
2023-01,FR,66.74749999999999
2023-01,NL,86.5075
2023-04,DE,80.4
2023-04,FR,65.995
2023-04,NL,84.47749999999999
2023-07,DE,78.925
2023-07,FR,65.91
2023-07,NL,86.0975
2023-10,DE,77.9
2023-10,FR,62.87499999999999
2023-10,NL,88.695
2024-01,DE,78.55000000000001
2024-01,FR,61.3125
2024-01,NL,91.47500000000001
2024-04,DE,80.75
2024-04,FR,61.722500000000004
2024-04,NL,94.9675
2024-07,DE,81.825
2024-07,FR,63.4275
2024-07,NL,99.3175
2024-10,DE,82.3
2024-10,FR,62.4725
2024-10,NL,101.095
2025-01,DE,83.875
2025-01,FR,63.5275
2025-01,NL,102.875
2025-04,DE,84.575
2025-04,FR,63.5275
2025-04,NL,103.935
2025-07,DE,85.2
2025-07,FR,64.8725
2025-07,NL,105.63000000000001
2025-10,DE,85.025
2025-10,FR,63.9375
2025-10,NL,105.57
