Month,Country,Unemployment_Rate
2020-01,DE,3.1666666666666665
2020-01,FR,8.366666666666665
2020-01,NL,4.166666666666667
2020-01,UK,3.9
2020-02,DE,3.3666666666666667
2020-02,FR,7.933333333333334
2020-02,NL,4.066666666666666
2020-02,UK,3.9
2020-03,DE,3.466666666666667
2020-03,FR,7.533333333333334
2020-03,NL,4.166666666666667
2020-03,UK,3.8666666666666667
2020-04,DE,3.466666666666667
2020-04,FR,7.3999999999999995
2020-04,NL,4.533333333333333
2020-04,UK,3.8333333333333335
2020-05,DE,3.6666666666666665
2020-05,FR,6.966666666666666
2020-05,NL,4.6
2020-05,UK,3.7999999999999994
2020-06,DE,3.7999999999999994
2020-06,FR,7.3
2020-06,NL,5.366666666666667
2020-06,UK,4.066666666666666
2020-07,DE,3.8666666666666667
2020-07,FR,8.333333333333334
2020-07,NL,5.433333333333334
2020-07,UK,4.466666666666667
2020-08,DE,3.9
2020-08,FR,8.966666666666667
2020-08,NL,5.3999999999999995
2020-08,UK,4.766666666666667
2020-09,DE,3.7999999999999994
2020-09,FR,8.866666666666667
2020-09,NL,5.400000000000001
2020-09,UK,4.966666666666667
2020-10,DE,3.6666666666666665
2020-10,FR,8.333333333333334
2020-10,NL,5.3
2020-11,DE,3.8333333333333335
2020-11,FR,8.066666666666666
2020-11,NL,5.0
2020-12,DE,3.6999999999999997
2020-12,FR,7.966666666666666
2020-12,NL,4.833333333333333
2021-01,DE,3.9666666666666663
2021-01,FR,8.200000000000001
2021-01,NL,4.766666666666667
2021-02,DE,4.0
2021-02,FR,8.266666666666666
2021-02,NL,4.766666666666667
2021-03,DE,3.9333333333333336
2021-03,FR,8.166666666666666
2021-03,NL,4.633333333333333
2021-04,DE,3.8333333333333335
2021-04,FR,8.1
2021-04,NL,4.5
2021-05,DE,3.7000000000000006
2021-05,FR,7.866666666666667
2021-05,NL,4.366666666666667
2021-06,DE,3.5666666666666664
2021-06,FR,7.733333333333334
2021-06,NL,4.2
2021-07,DE,3.466666666666667
2021-07,FR,7.833333333333333
2021-07,NL,4.0
2021-08,DE,3.3666666666666667
2021-08,FR,8.033333333333333
2021-08,NL,4.133333333333334
2021-09,DE,3.4
2021-09,FR,7.733333333333333
2021-09,NL,4.133333333333333
2021-10,DE,3.3000000000000003
2021-10,FR,7.566666666666666
2021-10,NL,3.9333333333333336
2021-11,DE,3.4
2021-11,FR,7.466666666666666
2021-11,NL,3.6666666666666665
2021-12,DE,3.3333333333333335
2021-12,FR,7.433333333333334
2021-12,NL,3.733333333333333
2022-01,DE,3.3666666666666667
2022-01,FR,7.433333333333334
2022-01,NL,3.6666666666666665
2022-02,DE,3.1666666666666665
2022-02,FR,7.433333333333334
2022-02,NL,3.5
2022-03,DE,3.1666666666666665
2022-03,FR,7.3999999999999995
2022-03,NL,3.3666666666666667
2022-04,DE,3.1666666666666665
2022-04,FR,7.3999999999999995
2022-04,NL,3.233333333333333
2022-05,DE,3.033333333333333
2022-05,FR,7.366666666666667
2022-05,NL,3.266666666666667
2022-06,DE,3.1
2022-06,FR,7.333333333333333
2022-06,NL,3.4333333333333336
2022-07,DE,3.1999999999999997
2022-07,FR,7.3
2022-07,NL,3.533333333333333
2022-08,DE,3.1333333333333333
2022-08,FR,7.366666666666667
2022-08,NL,3.766666666666667
2022-09,DE,3.1666666666666665
2022-09,FR,7.133333333333333
2022-09,NL,3.8333333333333335
2022-10,DE,3.1
2022-10,FR,7.2
2022-10,NL,3.7000000000000006
2022-11,DE,3.0666666666666664
2022-11,FR,7.166666666666667
2022-11,NL,3.5666666666666664
2022-12,DE,3.033333333333333
2022-12,FR,7.2
2022-12,NL,3.4333333333333336
2023-01,DE,3.033333333333333
2023-01,FR,7.2
2023-01,NL,3.6333333333333333
2023-02,DE,3.0666666666666664
2023-02,FR,7.133333333333333
2023-02,NL,3.5666666666666664
2023-03,DE,3.0
2023-03,FR,7.066666666666666
2023-03,NL,3.533333333333333
2023-04,DE,3.033333333333333
2023-04,FR,7.2
2023-04,NL,3.3666666666666667
2023-05,DE,2.966666666666667
2023-05,FR,7.2
2023-05,NL,3.5
2023-06,DE,3.033333333333333
2023-06,FR,7.166666666666667
2023-06,NL,3.5
2023-07,DE,3.0666666666666664
2023-07,FR,7.333333333333333
2023-07,NL,3.5666666666666664
2023-08,DE,3.1666666666666665
2023-08,FR,7.566666666666667
2023-08,NL,3.6
2023-09,DE,3.0666666666666664
2023-09,FR,7.433333333333334
2023-09,NL,3.733333333333333
2023-10,DE,3.1333333333333333
2023-10,FR,7.566666666666666
2023-10,NL,3.6
2023-11,DE,3.1666666666666665
2023-11,FR,7.566666666666666
2023-11,NL,3.466666666666667
2023-12,DE,3.1333333333333333
2023-12,FR,7.633333333333333
2023-12,NL,3.5
2024-01,DE,3.2000000000000006
2024-01,FR,7.666666666666667
2024-01,NL,3.6666666666666665
2024-02,DE,3.3333333333333335
2024-02,FR,7.533333333333334
2024-02,NL,3.766666666666667
2024-03,DE,3.3666666666666667
2024-03,FR,7.366666666666667
2024-03,NL,3.6333333333333333
2024-04,DE,3.266666666666667
2024-04,FR,7.233333333333333
2024-04,NL,3.6666666666666665
2024-05,DE,3.466666666666667
2024-05,FR,7.266666666666667
2024-05,NL,3.5666666666666664
2024-06,DE,3.4
2024-06,FR,7.333333333333333
2024-06,NL,3.6333333333333333
2024-07,DE,3.466666666666667
2024-07,FR,7.433333333333334
2024-07,NL,3.5666666666666664
2024-08,DE,3.5
2024-08,FR,7.566666666666667
2024-08,NL,3.7000000000000006
2024-09,DE,3.3333333333333335
2024-09,FR,7.433333333333334
2024-09,NL,3.766666666666667
2024-10,DE,3.3333333333333335
2024-10,FR,7.366666666666667
2024-10,NL,3.7000000000000006
