Month,Country,Topic,AverageSentiment,ArticleVolume
2021-11,UK,Housing,-0.7775467074868905,8
2021-11,UK,Inflation,-1.5993366723442004,15
2021-12,DE,Housing,-0.9809731855492667,3
2021-12,DE,Inflation,-0.7386875259857867,19
2021-12,FR,Employment,1.81543116490166,1
2021-12,FR,Housing,-0.30073341556507227,5
2021-12,FR,Inflation,-2.27044067706167,11
2021-12,NL,Employment,1.87657885239986,1
2021-12,NL,Housing,4.173669467787115,2
2021-12,NL,Inflation,-2.8020708270822774,4
2021-12,UK,Employment,-5.67514677103718,1
2021-12,UK,Housing,1.1913895219483819,5
2021-12,UK,Inflation,-1.6034078247979153,17
2022-01,DE,Employment,-1.5749513639702228,4
2022-01,DE,Housing,3.6652747901640703,2
2022-01,DE,Inflation,-0.031104025796581766,16
2022-01,FR,Employment,-1.72413793103448,2
2022-01,FR,Housing,-1.5583414550343466,3
2022-01,FR,Inflation,-1.2771765560667152,4
2022-01,NL,Housing,2.37580993520518,1
2022-01,NL,Inflation,-1.1983190325559747,3
2022-01,UK,Employment,-1.04790419161677,1
2022-01,UK,Housing,-1.7467169075959639,5
2022-01,UK,Inflation,-1.92656837934803,6
2022-02,DE,Employment,-1.2651396048892898,5
2022-02,DE,Housing,-0.5158496274419947,3
2022-02,DE,Inflation,-2.305072226398536,17
2022-02,FR,Employment,-1.2334440987672974,7
2022-02,FR,Housing,-0.6532945268371881,4
2022-02,FR,Inflation,-0.3320057212780863,6
2022-02,NL,Employment,-5.59006211180124,1
2022-02,NL,Inflation,-1.6025126543086299,4
2022-02,UK,Employment,-4.175696371858417,3
2022-02,UK,Housing,0.3773529225764741,10
2022-02,UK,Inflation,-1.6661462044663948,17
2022-03,DE,Employment,-4.34548819527811,2
2022-03,DE,Housing,-1.556783505324654,4
2022-03,DE,Inflation,-2.7171001432349255,16
2022-03,FR,Employment,-2.8669935317148725,4
2022-03,FR,Housing,-0.010687912942090483,2
2022-03,FR,Inflation,-1.1049192019788276,8
2022-03,NL,Employment,-0.776531492666092,1
2022-03,NL,Housing,-4.30769230769231,1
2022-03,NL,Inflation,-1.497903742739405,2
